clip,frame,t_sec,people,team_blue,team_red,goalkeepers
9,2,0.2,17,8,9,0
9,3,0.3,17,8,9,0
9,4,0.4,18,8,10,0
9,5,0.5,18,8,10,0
9,6,0.6,17,8,9,0
9,7,0.7,17,8,9,0
9,8,0.8,18,9,9,0
9,9,0.9,18,9,9,0
9,10,1.0,18,9,9,0
9,11,1.1,18,9,9,0
9,12,1.2,18,9,9,0
9,13,1.3,18,9,9,0
9,14,1.4,19,9,10,0
9,15,1.5,19,9,10,0
9,16,1.6,19,9,10,0
9,17,1.7,19,9,10,0
9,18,1.8,18,9,9,0
9,19,1.9,17,8,9,0
9,20,2.0,17,8,9,0
9,21,2.1,17,8,9,0
9,22,2.2,17,8,9,0
9,23,2.3,17,8,9,0
9,24,2.4,17,8,9,0
9,25,2.5,16,7,9,0
9,26,2.6,15,7,8,0
9,27,2.7,15,7,8,0
9,28,2.8,15,7,8,0
9,29,2.9,15,7,8,0
9,30,3.0,15,7,8,0
9,31,3.1,15,7,8,0
9,32,3.2,15,7,8,0
9,33,3.3,15,7,8,0
9,34,3.4,14,7,7,0
9,35,3.5,15,7,8,0
9,36,3.6,15,7,8,0
9,37,3.7,15,7,8,0
9,38,3.8,15,7,8,0
9,39,3.9,15,7,8,0
9,40,4.0,15,7,8,0
9,41,4.1,14,7,7,0
9,42,4.2,14,7,7,0
9,43,4.3,13,6,7,0
9,44,4.4,13,6,7,0
9,45,4.5,12,6,6,0
9,46,4.6,12,6,6,0
9,47,4.7,13,6,7,0
9,48,4.8,13,6,7,0
9,49,4.9,14,6,8,0
10,0,0.0,14,7,7,0
10,1,0.1,14,7,7,0
10,2,0.2,15,7,8,0
10,3,0.3,15,7,8,0
10,4,0.4,15,7,8,0
10,5,0.5,15,7,8,0
10,6,0.6,15,7,8,0
10,7,0.7,15,7,8,0
10,8,0.8,15,7,8,0
10,9,0.9,16,7,9,0
10,10,1.0,17,8,9,0
10,11,1.1,17,8,9,0
10,12,1.2,17,8,9,0
10,13,1.3,17,8,9,0
10,14,1.4,17,8,9,0
10,15,1.5,17,8,9,0
10,16,1.6,17,8,9,0
10,17,1.7,17,8,9,0
10,18,1.8,17,8,9,0
10,19,1.9,17,8,9,0
10,20,2.0,17,8,9,0
10,21,2.1,17,8,9,0
10,22,2.2,17,8,9,0
10,23,2.3,17,8,9,0
10,24,2.4,17,8,9,0
10,25,2.5,17,8,9,0
10,26,2.6,17,8,9,0
10,27,2.7,17,8,9,0
10,28,2.8,17,8,9,0
10,29,2.9,17,8,9,0
10,30,3.0,17,8,9,0
10,31,3.1,17,8,9,0
10,32,3.2,17,8,9,0
10,33,3.3,17,8,9,0
10,34,3.4,17,8,9,0
10,35,3.5,17,8,9,0
10,36,3.6,17,8,9,0
10,37,3.7,17,8,9,0
10,38,3.8,17,8,9,0
10,39,3.9,17,8,9,0
10,40,4.0,17,8,9,0
10,41,4.1,17,8,9,0
10,42,4.2,17,8,9,0
10,43,4.3,17,8,9,0
10,44,4.4,17,8,9,0
10,45,4.5,17,8,9,0
10,46,4.6,17,8,9,0
10,47,4.7,17,8,9,0
10,48,4.8,17,8,9,0
10,49,4.9,17,8,9,0
11,0,0.0,17,8,9,0
11,1,0.1,17,8,9,0
11,2,0.2,17,8,9,0
11,3,0.3,17,8,9,0
11,4,0.4,17,8,9,0
11,5,0.5,17,8,9,0
11,6,0.6,17,8,9,0
11,7,0.7,17,8,9,0
11,8,0.8,17,8,9,0
11,9,0.9,17,8,9,0
11,10,1.0,16,7,9,0
11,11,1.1,16,7,9,0
11,12,1.2,15,7,8,0
11,13,1.3,15,7,8,0
11,14,1.4,15,7,8,0
11,15,1.5,15,7,8,0
11,16,1.6,15,7,8,0
11,17,1.7,15,7,8,0
11,18,1.8,16,8,8,0
11,19,1.9,16,8,8,0
11,20,2.0,15,7,8,0
11,21,2.1,15,7,8,0
11,22,2.2,15,7,8,0
11,23,2.3,15,7,8,0
11,24,2.4,15,7,8,0
11,25,2.5,15,7,8,0
11,26,2.6,15,7,8,0
11,27,2.7,15,7,8,0
11,28,2.8,15,7,8,0
11,29,2.9,14,7,7,0
11,30,3.0,14,7,7,0
11,31,3.1,14,7,7,0
11,32,3.2,14,7,7,0
11,33,3.3,14,7,7,0
11,34,3.4,14,7,7,0
11,35,3.5,14,7,7,0
11,36,3.6,14,7,7,0
11,37,3.7,14,7,7,0
11,38,3.8,13,6,7,0
11,39,3.9,14,6,8,0
11,40,4.0,14,6,8,0
11,41,4.1,13,6,7,0
11,42,4.2,14,6,8,0
11,43,4.3,14,6,8,0
11,44,4.4,13,6,7,0
11,45,4.5,13,6,7,0
11,46,4.6,13,6,7,0
11,47,4.7,13,6,7,0
11,48,4.8,13,6,7,0
11,49,4.9,13,6,7,0
12,0,0.0,13,6,7,0
12,1,0.1,13,6,7,0
12,2,0.2,13,6,7,0
12,3,0.3,13,6,7,0
12,4,0.4,13,6,7,0
12,5,0.5,13,6,7,0
12,6,0.6,12,6,6,0
12,7,0.7,12,6,6,0
12,8,0.8,12,6,6,0
12,9,0.9,12,6,6,0
12,10,1.0,12,6,6,0
12,11,1.1,12,6,6,0
12,12,1.2,12,6,6,0
12,13,1.3,11,6,5,0
12,14,1.4,11,6,5,0
12,15,1.5,11,6,5,0
12,16,1.6,11,6,5,0
12,17,1.7,11,6,5,0
12,18,1.8,11,6,5,0
12,19,1.9,11,6,5,0
12,20,2.0,11,6,5,0
12,21,2.1,11,6,5,0
12,22,2.2,11,6,5,0
12,23,2.3,11,6,5,0
12,24,2.4,10,6,4,0
12,25,2.5,10,6,4,0
12,26,2.6,10,6,4,0
12,27,2.7,11,7,4,0
12,28,2.8,11,7,4,0
12,29,2.9,12,7,5,0
12,30,3.0,12,7,5,0
12,31,3.1,12,7,5,0
12,32,3.2,12,7,5,1
12,33,3.3,12,7,5,1
12,34,3.4,13,8,5,1
12,35,3.5,13,8,5,1
12,36,3.6,13,8,5,1
12,37,3.7,13,8,5,1
12,38,3.8,13,8,5,1
12,39,3.9,13,8,5,1
12,40,4.0,13,8,5,1
12,41,4.1,13,8,5,1
12,42,4.2,13,8,5,1
12,43,4.3,14,8,6,1
12,44,4.4,14,8,6,1
12,45,4.5,15,8,7,1
12,46,4.6,15,8,7,1
12,47,4.7,15,8,7,1
12,48,4.8,15,8,7,1
12,49,4.9,15,8,7,1
13,0,0.0,15,7,8,0
13,1,0.1,17,7,10,0
13,2,0.2,17,7,10,0
13,3,0.3,17,7,10,0
13,4,0.4,17,7,10,0
13,5,0.5,17,7,10,0
13,6,0.6,17,7,10,0
13,7,0.7,17,7,10,0
13,8,0.8,17,7,10,0
13,9,0.9,18,8,10,0
13,10,1.0,18,8,10,0
13,11,1.1,19,9,10,0
